Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Philadelphia,23,14,5,4,44,20,+24,47,35.5,25.5,+10.0,+0.44,,Sergio Santos Gomes Kacper Przybyłko - 8,Andre Blake,
2,Toronto FC,23,13,5,5,33,26,+7,44,35.9,25.2,+10.6,+0.46,2297,Alejandro Pozuelo Ayo Akinola - 9,Quentin Westberg,
3,Columbus,23,12,5,6,36,21,+15,41,30.8,29.9,+0.9,+0.04,1861,Gyasi Zardes - 12,Eloy Room,
4,Orlando City,23,11,8,4,40,25,+15,41,32.0,25.7,+6.3,+0.27,2321,Chris Mueller - 10,Pedro Gallese,
5,NYCFC,23,12,3,8,37,25,+12,39,37.9,28.2,+9.7,+0.42,,Valentín Castellanos - 6,Sean Johnson,
6,NY Red Bulls,23,9,5,9,29,31,-2,32,28.1,34.0,-5.9,-0.26,1570,Brian White - 5,Ryan Meara,
7,Nashville,23,8,8,7,24,22,+2,32,23.9,25.4,-1.5,-0.06,6367,Hany Mukhtar Daniel Armando Ríos - 4,Joe Willis,
8,New England,23,8,8,7,26,25,+1,32,33.0,26.9,+6.1,+0.26,1529,Teal Bunbury - 8,Matt Turner,
9,Montreal,23,8,2,13,33,43,-10,26,27.6,38.7,-11.0,-0.48,1616,Romell Quioto - 8,Clément Diop,
10,Miami,23,7,3,13,25,35,-10,24,28.8,29.8,-1.0,-0.04,,Lewis Morgan - 5,Luis Robles,
11,Chicago,23,5,8,10,33,39,-6,23,38.9,35.4,+3.5,+0.15,,Robert Berić - 12,Bobby Shuttleworth,
12,Atlanta,23,6,4,13,23,30,-7,22,21.6,28.9,-7.4,-0.32,6275,Jon Gallagher - 4,Brad Guzan,
13,D.C. United,23,5,6,12,25,41,-16,21,21.8,36.9,-15.1,-0.65,2843,Ola Kamara - 4,Bill Hamid,
14,FC Cincinnati,23,4,4,15,12,36,-24,16,22.3,30.5,-8.2,-0.36,,Yuya Kubo - 3,Przemysław Tytoń,
