Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NY Red Bulls,34,18,6,10,62,43,19,60,19657,Bradley Wright-Phillips - 17,Luis Robles,â†’ Conference Semifinals
2,Columbus,34,15,8,11,58,53,5,53,16985,Kei Kamara - 22,Steve Clark,â†’ Conference Semifinals
3,Montreal,34,15,6,13,48,44,4,51,17750,Didier Drogba - 11,Evan Bush,â†’ Knockout round
4,D.C. United,34,15,6,13,43,45,-2,51,16244,Chris Rolfe - 10,Bill Hamid,â†’ Knockout round
5,New England,34,14,8,12,48,47,1,50,19627,Charlie Davies - 10,Bobby Shuttleworth,â†’ Knockout round
6,Toronto FC,34,15,4,15,58,58,0,49,23451,Sebastian Giovinco - 22,Chris Konopka,â†’ Knockout round
7,Orlando City,34,12,8,14,46,56,-10,44,32847,Cyle Larin - 17,Tally Hall,
8,NYCFC,34,10,7,17,49,58,-9,37,29016,David Villa - 18,Josh Saunders,
9,Philadelphia,34,10,7,17,42,55,-13,37,17451,C.J. Sapong - 9,Brian Sylvestre,
10,Chicago,34,8,6,20,43,58,-15,30,16003,David Accam - 10,Sean Johnson,
