Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
1,Anatole Abang\Anatole-Abang,cm CMR,FW,NY Red Bulls,18,1996,17,3,400,4,0,0,0,1,0,0.9,0,0.9,0.9,0.9
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Sporting KC,23,1991,22,10,1082,0,1,0,0,1,0,0,0.08,0.08,0,0.08
3,David Accam\David-Accam,gh GHA,FWMF,Chicago,24,1990,24,21,1860,10,2,0,0,4,1,0.48,0.1,0.58,0.48,0.58
4,Kellyn Acosta\Kellyn-Acosta,us USA,DFMF,FC Dallas,19,1995,21,19,1604,3,2,0,0,4,1,0.17,0.11,0.28,0.17,0.28
5,Adaílton\Adailton,br BRA,DF,Chicago,30,1984,17,17,1503,1,0,0,0,6,0,0.06,0,0.06,0.06,0.06
6,Sam Adekugbe\Sam-Adekugbe,ca CAN,DFMF,Vancouver,20,1995,9,7,647,0,0,0,0,4,0,0,0,0,0,0
7,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,24,1990,33,23,2161,16,2,3,3,2,0,0.67,0.08,0.75,0.54,0.62
8,Harrison Afful\Harrison-Afful,gh GHA,DFMF,Columbus,28,1986,9,9,758,0,1,0,0,0,0,0,0.12,0.12,0,0.12
9,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,22,1992,32,20,1760,7,3,0,0,4,0,0.36,0.15,0.51,0.36,0.51
10,Miguel Aguilar\Miguel-Aguilar,mx MEX,MF,D.C. United,21,1993,17,4,537,0,0,0,0,1,0,0,0,0,0,0
11,Tesho Akindele\Tesho-Akindele,ca CAN,FWMF,FC Dallas,22,1992,28,14,1508,5,1,1,1,2,0,0.3,0.06,0.36,0.24,0.3
12,Fatai Alashe\Fatai-Alashe,us USA,MF,San Jose,21,1993,28,27,2315,2,1,0,0,5,1,0.08,0.04,0.12,0.08,0.12
13,Alex\Alex,br BRA,FWMF,Chicago,26,1988,1,0,9,0,0,0,0,0,0,0,0,0,0,0
14,Alex\Alex,br BRA,FWMF,Houston,26,1988,15,9,821,2,0,0,0,1,0,0.22,0,0.22,0.22,0.22
15,Eric Alexander\Eric-Alexander,us USA,MF,Montreal,26,1988,20,10,879,0,0,0,0,2,0,0,0,0,0,0
16,Jordan Allen\Jordan-Allen,us USA,MF,Real Salt Lake,19,1995,23,11,1088,1,2,0,0,4,1,0.08,0.17,0.25,0.08,0.25
17,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Seattle,29,1985,22,21,1853,0,0,0,0,7,0,0,0,0,0,0
18,Kevin Alston\Kevin-Alston,us USA,DF,New England,26,1988,16,9,934,0,0,0,0,2,0,0,0,0,0,0
19,Jozy Altidore\Jozy-Altidore,us USA,FW,Toronto FC,25,1989,26,22,1792,13,0,3,3,3,1,0.65,0,0.65,0.5,0.5
20,Carlos Alvarez\Carlos-Alvarez,us USA,MF,Colorado,24,1990,1,0,32,0,0,0,0,0,0,0,0,0,0,0
21,Pablo Álvarez\Pablo-Alvarez,es ESP,MF,NYCFC,34,1980,8,3,247,0,0,0,0,0,0,0,0,0,0,0
22,Quincy Amarikwa\Quincy-Amarikwa,us USA,FWMF,Chicago,27,1987,14,7,739,0,1,0,0,1,0,0,0.12,0.12,0,0.12
23,Quincy Amarikwa\Quincy-Amarikwa,us USA,FWMF,San Jose,27,1987,17,17,1454,6,3,0,0,1,0,0.37,0.19,0.56,0.37,0.56
24,Angeliño\Angelino,es ESP,DFMF,NYCFC,18,1997,14,10,994,0,3,0,0,0,0,0,0.27,0.27,0,0.27
