Squad,NO_Pl,Age,Poss,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
Chicago,30,27.4,,34,374,3060,43,37,7,8,,,1.26,1.09,2.35,1.06,2.15
Colorado,30,27.4,,34,373,3060,33,31,2,1,,,0.97,0.91,1.88,0.91,1.82
Columbus,25,27.3,,34,374,3060,57,53,1,2,,,1.68,1.56,3.24,1.65,3.21
D.C. United,25,27.6,,34,374,3060,42,31,4,5,,,1.24,0.91,2.15,1.12,2.03
FC Dallas,24,25.5,,34,374,3060,51,38,4,4,,,1.5,1.12,2.62,1.38,2.5
Houston,26,27.6,,34,374,3060,42,28,2,4,,,1.24,0.82,2.06,1.18,2
LA Galaxy,29,28.3,,34,374,3060,56,56,5,6,,,1.65,1.65,3.29,1.5,3.15
Montreal,30,27.2,,34,374,3060,48,27,5,6,,,1.41,0.79,2.21,1.26,2.06
New England,21,26.5,,34,374,3060,47,40,3,3,,,1.38,1.18,2.56,1.29,2.47
NY Red Bulls,24,27.2,,34,377,3060,62,52,7,11,,,1.82,1.53,3.35,1.62,3.15
NYCFC,30,28.6,,34,374,3060,48,36,8,9,,,1.41,1.06,2.47,1.18,2.24
Orlando City,30,26.3,,34,374,3060,41,33,4,5,0,0,1.21,0.97,2.18,1.09,2.06
Philadelphia,28,26.4,,34,374,3060,40,33,1,2,,,1.18,0.97,2.15,1.15,2.12
Portland,23,27.1,,34,374,3060,41,33,4,5,,,1.21,0.97,2.18,1.09,2.06
Real Salt Lake,27,27.7,,34,374,3060,37,26,4,6,,,1.09,0.76,1.85,0.97,1.74
San Jose,26,27.8,,34,374,3060,41,26,6,6,,,1.21,0.76,1.97,1.03,1.79
Seattle,29,29,,34,374,3060,44,33,2,3,,,1.29,0.97,2.26,1.24,2.21
Sporting KC,28,26.6,,34,374,3060,47,43,5,6,,,1.38,1.26,2.65,1.24,2.5
Toronto FC,27,26.9,,34,375,3060,57,47,6,7,0,0,1.68,1.38,3.06,1.5,2.88
Vancouver,26,26,,34,374,3060,45,30,5,5,,,1.32,0.88,2.21,1.18,2.06
