Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
1,Brenden Aaronson\Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,28,25,1706,3,1,0,0,3,0,0.16,0.05,0.21,0.16,0.21,3.9,3.9,2.1,0.2,0.11,0.32,0.2,0.32
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,18,11,1067,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.8,0.01,0.07,0.08,0.01,0.08
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,22,1980,0,0,0,0,7,0,0,0,0,0,0,1.3,1.3,0.1,0.06,0,0.06,0.06,0.06
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.19,0,0.19,0.19,0.19
5,David Accam\David-Accam,gh GHA,FWMF,Columbus,28,1990,15,8,667,2,1,0,0,1,0,0.27,0.13,0.4,0.27,0.4,1.2,1.2,1,0.16,0.13,0.3,0.16,0.3
6,David Accam\David-Accam,gh GHA,FW,Philadelphia,28,1990,8,4,338,4,2,0,0,0,0,1.07,0.53,1.6,1.07,1.6,2.1,2.1,0.2,0.56,0.05,0.62,0.56,0.62
7,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,26,23,2073,2,1,0,0,12,0,0.09,0.04,0.13,0.09,0.13,2,2,2.2,0.09,0.09,0.18,0.09,0.18
8,Danilo Acosta\Danilo-Acosta,us USA,DF,Orlando City,21,1997,8,8,667,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,23,1995,31,30,2615,2,1,0,0,10,1,0.07,0.03,0.1,0.07,0.1,1.5,1.5,2.3,0.05,0.08,0.13,0.05,0.13
10,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,31,22,2122,6,1,0,0,0,1,0.25,0.04,0.3,0.25,0.3,4.3,4.3,2.8,0.18,0.12,0.3,0.18,0.3
11,Mo Adams\Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,4,1,93,1,0,0,0,1,0,0.97,0,0.97,0.97,0.97,0.1,0.1,0.1,0.13,0.12,0.25,0.13,0.25
12,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,22,1996,10,5,487,0,0,0,0,4,0,0,0,0,0,0,0,0,0.4,0.01,0.08,0.09,0.01,0.09
13,Fanendo Adi\Fanendo-Adi,ng NGA,FW,FC Cincinnati,28,1990,12,7,700,1,0,0,0,1,0,0.13,0,0.13,0.13,0.13,3,3,0.1,0.38,0.01,0.39,0.38,0.39
14,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DF,Vancouver,25,1993,28,28,2410,1,3,0,1,6,0,0.04,0.11,0.15,0.04,0.15,2.4,1.7,1.9,0.09,0.07,0.16,0.06,0.14
15,François Affolter\Francois-Affolter,ch SUI,DF,San Jose,27,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,32,1986,22,22,1903,0,2,0,0,3,1,0,0.09,0.09,0,0.09,0.7,0.7,1.5,0.03,0.07,0.11,0.03,0.11
17,Juan Agudelo\Juan-Agudelo,us USA,MFFW,New England,26,1992,28,21,1954,3,1,0,0,7,0,0.14,0.05,0.18,0.14,0.18,4.2,3.6,2.3,0.19,0.1,0.3,0.17,0.27
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,26,1992,28,22,1875,10,1,0,0,1,0,0.48,0.05,0.53,0.48,0.53,8.9,8.9,1.7,0.43,0.08,0.51,0.43,0.51
