,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Jeff Attinella,us USA,GK,Portland,30,1988,10,10,900,10,24,2.4,60,38,0.65,1,2,7,0,0,3,3,0,0,Matches
2,Joe Bendik,us USA,GK,Columbus,29,1989,6,6,540,6,12,2,25,13,0.56,0,1,5,0,0,1,1,0,0,Matches
3,David Bingham,us USA,GK,LA Galaxy,29,1989,33,33,"2,970",33,55,1.67,183,136,0.732,16,3,14,8,24.2,8,6,2,0,Matches
4,Andre Blake,jm JAM,GK,Philadelphia,28,1990,26,26,"2,304",25.6,41,1.6,95,59,0.6,11,5,10,4,15.4,4,3,1,0,Matches
5,Alex Bono,us USA,GK,Toronto FC,24,1994,7,6,555,6.2,11,1.78,22,14,0.636,4,1,1,1,16.7,3,3,0,0,Matches
6,Evan Bush,us USA,GK,Montreal,32,1986,32,32,"2,880",32,59,1.84,131,79,0.595,11,4,17,7,21.9,7,6,1,0,Matches
7,Steve Clark,us USA,GK,Portland,32,1986,24,24,"2,160",24,25,1.04,102,78,0.784,13,5,6,6,25,4,3,1,0,Matches
8,Carlos Coronel,br BRA,GK,Philadelphia,22,1996,4,3,319,3.6,2,0.56,11,8,0.818,3,0,0,2,66.7,0,0,0,0,Matches
9,Maxime Crépeau,ca CAN,GK,Vancouver,24,1994,26,26,"2,340",26,46,1.77,153,112,0.745,7,6,13,5,19.2,7,7,0,0,Matches
10,Cody Cropper,us USA,GK,New England,25,1993,7,7,630,7,17,2.43,42,26,0.643,2,1,4,1,14.3,2,2,0,0,Matches
11,Mario Daniel Vega,ar ARG,GK,San Jose,34,1984,34,34,"3,060",34,55,1.62,158,109,0.677,13,5,16,7,20.6,7,4,1,2,Matches
12,Tyler Deric,us USA,GK,Houston,30,1988,7,7,630,7,15,2.14,34,19,0.559,2,0,5,0,0,0,0,0,0,Matches
13,Eric Dick,us USA,GK,Sporting KC,24,1994,1,1,90,1,6,6,9,3,0.333,0,0,1,0,0,0,0,0,0,Matches
14,Clément Diop,sn SEN,GK,Montreal,25,1993,2,2,180,2,1,0.5,6,5,0.833,1,1,0,1,50,0,0,0,0,Matches
15,Matt Freese,us USA,GK,Philadelphia,20,1998,6,5,437,4.9,7,1.44,20,15,0.75,2,2,1,2,40,2,2,0,0,Matches
16,Stefan Frei,ch SUI,GK,Seattle,32,1986,34,34,"3,060",34,49,1.44,154,111,0.714,16,8,10,10,29.4,5,5,0,0,Matches
17,Jesse Gonzalez,mx MEX,GK,FC Dallas,23,1995,32,32,"2,880",32,42,1.31,118,78,0.686,13,8,11,8,25,7,5,2,0,Matches
18,Brad Guzan,us USA,GK,Atlanta,34,1984,34,34,"3,060",34,43,1.26,130,91,0.692,18,4,12,14,41.2,5,3,1,1,Matches
19,Bill Hamid,us USA,GK,D.C. United,28,1990,33,33,"2,970",33,37,1.12,160,124,0.775,12,11,10,14,42.4,5,1,1,3,Matches
20,Tim Howard,us USA,GK,Colorado,39,1979,25,25,"2,160",24,46,1.92,104,68,0.606,8,4,13,5,20,6,5,1,0,Matches
21,Clint Irwin,us USA,GK,Colorado,29,1989,11,9,900,10,17,1.7,49,35,0.694,4,2,3,1,11.1,3,2,1,0,Matches
22,Sean Johnson,us USA,GK,NYCFC,29,1989,29,29,"2,610",29,36,1.24,101,75,0.723,14,10,5,7,24.1,10,8,2,0,Matches
23,Jon Kempin,us USA,GK,Columbus,25,1993,3,3,270,3,4,1.33,8,4,0.5,0,0,3,0,0,0,0,0,0,Matches
24,Brad Knighton,us USA,GK,New England,33,1985,8,7,662,7.4,13,1.77,29,17,0.586,1,3,3,0,0,2,1,1,0,Matches
25,Kenneth Kronholm,de GER,GK,Chicago,33,1985,20,20,"1,800",20,27,1.35,81,58,0.704,6,8,6,5,25,3,3,0,0,Matches
26,Matt Lampson,us USA,GK,LA Galaxy,29,1989,1,1,90,1,4,4,6,2,0.333,0,0,1,0,0,0,0,0,0,Matches
27,Zac MacMath,us USA,GK,Vancouver,27,1991,8,8,720,8,13,1.62,48,38,0.75,1,4,3,0,0,1,1,0,0,Matches
28,Vito Mannone,it ITA,GK,Minnesota,30,1988,34,34,"3,060",34,44,1.29,169,128,0.757,15,8,11,11,32.4,4,3,1,0,Matches
29,Jimmy Maurer,us USA,GK,FC Dallas,30,1988,2,2,180,2,4,2,11,7,0.636,0,1,1,0,0,1,0,1,0,Matches
30,Ryan Meara,us USA,GK,NY Red Bulls,28,1990,1,1,90,1,1,1,6,5,0.833,1,0,0,0,0,0,0,0,0,Matches
31,Tim Melia,us USA,GK,Sporting KC,32,1986,32,32,"2,880",32,60,1.87,166,107,0.645,10,7,15,6,18.8,4,1,3,0,Matches
32,Tyler Miller,us USA,GK,Los Angeles FC,25,1993,28,28,"2,520",28,28,1,94,70,0.723,18,8,2,9,32.1,2,2,0,0,Matches
33,David Ousted,dk DEN,GK,Chicago,33,1985,14,14,"1,260",14,20,1.43,54,36,0.648,4,4,6,4,28.6,2,1,1,0,Matches
34,Andrew Putna,us USA,GK,Real Salt Lake,24,1994,5,5,450,5,6,1.2,15,9,0.6,2,1,2,2,40,1,0,1,0,Matches
35,Greg Ranjitsingh,tt TRI,GK,Orlando City,25,1993,2,2,180,2,3,1.5,8,5,0.625,0,1,1,0,0,0,0,0,0,Matches
36,Spencer Richey,us USA,GK,FC Cincinnati,26,1992,19,19,"1,710",19,45,2.37,101,59,0.574,5,2,12,2,10.5,3,2,1,0,Matches
37,Nick Rimando,us USA,GK,Real Salt Lake,39,1979,29,29,"2,610",29,36,1.24,101,69,0.673,14,4,11,10,34.5,4,3,0,1,Matches
38,Luis Robles,us USA,GK,NY Red Bulls,34,1984,33,33,"2,970",33,50,1.52,125,82,0.648,13,6,14,9,27.3,7,6,1,0,Matches
39,Eloy Room,cw CUW,GK,Columbus,29,1989,12,12,"1,080",12,14,1.17,43,32,0.721,5,5,2,1,8.3,2,2,0,0,Matches
40,Brian Rowe,us USA,GK,Orlando City,30,1988,32,32,"2,880",32,49,1.53,150,102,0.68,9,9,14,7,21.9,1,1,0,0,Matches
41,Chris Seitz,us USA,GK,D.C. United,31,1987,1,1,90,1,1,1,2,2,1,1,0,0,0,0,1,1,0,0,Matches
42,Pablo Sisniega,mx MEX,GK,Los Angeles FC,23,1995,6,6,540,6,9,1.5,24,16,0.625,3,1,2,0,0,1,0,1,0,Matches
43,Zack Steffen,us USA,GK,Columbus,23,1995,13,13,"1,170",13,17,1.31,52,36,0.692,5,2,6,4,30.8,2,1,1,0,Matches
44,Brad Stuver,us USA,GK,NYCFC,27,1991,5,5,450,5,6,1.2,14,9,0.571,4,0,1,1,20,0,0,0,0,Matches
45,Matt Turner,us USA,GK,New England,24,1994,20,20,"1,765",19.6,27,1.38,111,84,0.766,8,8,4,5,25,1,1,0,0,Matches
46,Przemysław Tytoń,pl POL,GK,FC Cincinnati,32,1987,15,15,"1,350",15,30,2,58,29,0.5,1,4,10,3,20,2,1,1,0,Matches
47,Quentin Westberg,us USA,GK,Toronto FC,32,1986,28,28,"2,505",27.8,41,1.47,106,72,0.679,9,10,9,4,14.3,10,7,1,2,Matches
48,Joe Willis,us USA,GK,Houston,30,1988,27,27,"2,430",27,44,1.63,124,88,0.702,10,4,13,3,11.1,7,7,0,0,Matches
49,Adrian Zendejas,mx MEX,GK,Sporting KC,23,1995,1,1,90,1,1,1,3,3,1,0,1,0,0,0,1,1,0,0,Matches
