Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NY Red Bulls,34,16,9,9,61,44,+17,57,20620,Bradley Wright-Phillips - 24,Luis Robles,→ Conference Semifinals
2,NYCFC,34,15,9,10,62,57,+5,54,27196,David Villa - 23,Josh Saunders,→ Conference Semifinals
3,Toronto FC,34,14,11,9,51,39,+12,53,26583,Sebastian Giovinco - 17,Clint Irwin,→ Knockout round
4,D.C. United,34,11,13,10,53,47,+6,46,17081,Lamar Neagle - 9,Bill Hamid,→ Knockout round
5,Montreal,34,11,12,11,49,53,-4,45,20669,Ignacio Piatti - 17,Evan Bush,→ Knockout round
6,Philadelphia,34,11,9,14,52,55,-3,42,17519,Chris Pontius - 12,Andre Blake,→ Knockout round
7,New England,34,11,9,14,44,54,-10,42,20185,Juan Agudelo Kei Kamara - 7,Bobby Shuttleworth,
8,Orlando City,34,9,14,11,55,60,-5,41,31324,Cyle Larin - 14,Joe Bendik,
9,Columbus,34,8,12,14,50,58,-8,36,17125,Ola Kamara - 16,Steve Clark,
10,Chicago,34,7,10,17,42,58,-16,31,15602,David Accam - 9,Sean Johnson,
