Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,FC Dallas,34,17,9,8,50,40,+10,60,14094,Michael Barrios Maximiliano Urruti - 9,Chris Seitz,→ Conference Semifinals
2,Colorado,34,15,13,6,39,32,+7,58,16278,Shkëlzen Gashi - 9,Zac MacMath Tim Howard,→ Conference Semifinals
3,LA Galaxy,34,12,16,6,54,39,+15,52,25147,Giovani dos Santos - 14,Brian Rowe,→ Knockout round
4,Seattle,34,14,6,14,44,43,+1,48,42636,Jordan Morris - 12,Stefan Frei,→ Knockout round
5,Sporting KC,34,13,8,13,42,41,+1,47,19549,Dom Dwyer - 16,Tim Melia,→ Knockout round
6,Real Salt Lake,34,12,10,12,44,46,-2,46,19759,Yura Movsisyan Joao Plata - 9,Nick Rimando,→ Knockout round
7,Portland,34,12,8,14,48,53,-5,44,21144,Fanendo Adi - 16,Jake Gleeson,
8,Vancouver,34,10,9,15,45,52,-7,39,22330,Pedro Morales - 9,David Ousted,
9,San Jose,34,8,14,12,32,40,-8,38,19930,Chris Wondolowski - 12,David Bingham,
10,Houston,34,7,13,14,39,45,-6,34,19597,Andrew Wenger Mauro Manotas - 6,Joe Willis,
