Squad,NO_Pl,Age,Poss,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
Atlanta,24,26.8,55.5,34,374,3060,55,37,8,10,56,1,1.62,1.09,2.71,1.38,2.47,56.6,49.2,38.9,1.67,1.14,2.81,1.45,2.59
Chicago,26,28.8,48.8,34,374,3060,53,37,3,5,62,3,1.56,1.09,2.65,1.47,2.56,53.1,49.1,37.3,1.61,1.13,2.74,1.49,2.62
Colorado,24,26.6,42,34,374,3060,57,37,5,8,70,8,1.68,1.09,2.76,1.53,2.62,51.1,45.1,31.5,1.5,0.93,2.43,1.33,2.25
Columbus,33,27.4,49,34,374,3060,37,26,4,5,57,1,1.09,0.76,1.85,0.97,1.74,37.3,33.7,26.1,1.1,0.77,1.86,0.99,1.76
D.C. United,26,26.8,47.6,34,374,3060,41,25,4,4,49,5,1.21,0.74,1.94,1.09,1.82,37.8,34.9,25.8,1.11,0.76,1.87,1.03,1.79
FC Cincinnati,30,27.2,46.5,34,374,3060,29,20,4,5,57,4,0.85,0.59,1.44,0.74,1.32,33,29.3,22.3,0.97,0.66,1.63,0.86,1.52
FC Dallas,27,24.9,53.2,34,375,3060,51,34,4,5,67,1,1.5,1,2.5,1.38,2.38,49.6,46,32.2,1.46,0.95,2.41,1.35,2.3
Houston,26,27.8,47.1,34,374,3060,45,36,4,5,66,4,1.32,1.06,2.38,1.21,2.26,47.5,43.7,33.3,1.4,0.98,2.38,1.28,2.26
LA Galaxy,26,27.6,50.2,34,374,3060,58,45,7,8,70,3,1.71,1.32,3.03,1.5,2.82,56.3,50.2,42.1,1.66,1.24,2.89,1.48,2.71
Los Angeles FC,28,25.7,56.9,34,374,3060,84,58,9,11,53,1,2.47,1.71,4.18,2.21,3.91,77.3,69.1,53.5,2.27,1.57,3.85,2.03,3.61
Minnesota,26,28.6,44.8,34,374,3060,50,34,6,7,55,4,1.47,1,2.47,1.29,2.29,52.7,47.5,32.3,1.55,0.95,2.5,1.4,2.34
Montreal,29,27.7,49.1,34,374,3060,44,30,6,6,55,3,1.29,0.88,2.18,1.12,2,38.4,33.8,24.9,1.13,0.73,1.86,1,1.73
New England,23,26.7,45.1,34,374,3060,49,38,5,7,68,6,1.44,1.12,2.56,1.29,2.41,44.8,39.4,30.1,1.32,0.88,2.2,1.16,2.04
NY Red Bulls,28,26.1,46.7,34,374,3060,49,34,4,5,52,5,1.44,1,2.44,1.32,2.32,49.7,45.9,34.9,1.46,1.03,2.49,1.35,2.38
NYCFC,25,26.2,57.1,34,374,3060,63,43,5,9,79,1,1.85,1.26,3.12,1.71,2.97,51.8,45.8,33.1,1.57,1,2.57,1.39,2.39
Orlando City,27,27,47.9,34,374,3060,44,29,3,5,61,3,1.29,0.85,2.15,1.21,2.06,43.6,39.6,28.9,1.28,0.85,2.13,1.17,2.02
Philadelphia,28,26.7,52.9,34,374,3060,57,42,4,8,58,3,1.68,1.24,2.91,1.56,2.79,54.9,48.7,34.2,1.61,1.01,2.62,1.43,2.44
Portland,27,27.9,50.2,34,374,3060,50,35,3,5,75,6,1.47,1.03,2.5,1.38,2.41,52.7,48.9,37.8,1.55,1.11,2.66,1.44,2.55
Real Salt Lake,25,27.4,49.6,34,374,3060,46,31,6,7,65,5,1.35,0.91,2.26,1.18,2.09,36.5,31.2,23.5,1.07,0.69,1.76,0.92,1.61
San Jose,25,27.7,57.6,34,374,3060,50,40,1,1,72,5,1.47,1.18,2.65,1.44,2.62,52.2,51.4,39.3,1.53,1.16,2.69,1.51,2.67
Seattle,29,27.7,50.5,34,374,3060,50,34,3,3,53,4,1.47,1,2.47,1.38,2.38,48.8,46.5,36.9,1.44,1.08,2.52,1.37,2.45
Sporting KC,29,28.7,52.6,34,374,3060,46,29,6,9,74,7,1.35,0.85,2.21,1.18,2.03,58,51.2,35,1.71,1.03,2.74,1.5,2.54
Toronto FC,29,27.8,54,34,374,3060,57,39,5,7,50,3,1.68,1.15,2.82,1.53,2.68,48.1,42.8,33.2,1.41,0.98,2.39,1.26,2.24
Vancouver,26,26,45.1,34,374,3060,37,22,5,7,61,1,1.09,0.65,1.74,0.94,1.59,34.4,29.2,20.8,1.01,0.61,1.62,0.86,1.47
