Squad,NO_Pl,Age,Poss,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
Chicago,26,26.1,43.6,34,374,3060,40,32,2,2,42,3,1.18,0.94,2.12,1.12,2.06
Colorado,24,27.5,49.4,34,376,3060,39,34,2,3,83,3,1.15,1,2.15,1.09,2.09
Columbus,28,27.5,55.2,34,374,3060,48,39,6,7,33,5,1.41,1.15,2.56,1.24,2.38
D.C. United,27,27.6,46.5,34,374,3060,53,39,3,4,65,4,1.56,1.15,2.71,1.47,2.62
FC Dallas,27,25.5,48.7,34,374,3060,49,35,5,5,60,1,1.44,1.03,2.47,1.29,2.32
Houston,26,28.2,46.2,34,374,3060,38,27,1,1,43,4,1.12,0.79,1.91,1.09,1.88
LA Galaxy,28,28.8,51.1,34,374,3060,52,42,4,6,51,4,1.53,1.24,2.76,1.41,2.65
Montreal,27,28.6,46.4,34,374,3060,49,39,5,6,66,4,1.44,1.15,2.59,1.29,2.44
New England,24,27,49.3,34,374,3060,41,32,3,4,55,4,1.21,0.94,2.15,1.12,2.06
NY Red Bulls,27,27.8,54.7,34,374,3060,59,52,1,2,60,4,1.74,1.53,3.26,1.71,3.24
NYCFC,25,29.1,53.9,34,374,3060,62,48,6,7,64,5,1.82,1.41,3.24,1.65,3.06
Orlando City,26,26.4,51.6,34,374,3060,53,41,5,7,71,4,1.56,1.21,2.76,1.41,2.62
Philadelphia,25,26.9,49,34,374,3060,50,32,6,8,57,8,1.47,0.94,2.41,1.29,2.24
Portland,26,27.5,47.7,34,374,3060,48,26,7,9,54,4,1.41,0.76,2.18,1.21,1.97
Real Salt Lake,24,29.1,53.4,34,374,3060,42,30,6,9,62,4,1.24,0.88,2.12,1.06,1.94
San Jose,26,28.4,49.5,34,374,3060,32,24,3,5,52,5,0.94,0.71,1.65,0.85,1.56
Seattle,25,28.4,52.9,34,374,3060,43,31,3,3,45,5,1.26,0.91,2.18,1.18,2.09
Sporting KC,27,27.7,54.9,34,374,3060,42,29,5,5,58,7,1.24,0.85,2.09,1.09,1.94
Toronto FC,26,26.7,50.6,34,374,3060,51,46,4,6,51,5,1.5,1.35,2.85,1.38,2.74
Vancouver,29,27,46.6,34,374,3060,42,22,7,8,57,10,1.24,0.65,1.88,1.03,1.68
