Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Portland,34,15,8,11,60,50,10,53,21144,Diego Valeri - 21,Jake Gleeson,â†’ Conference Semifinals
2,Seattle,34,14,11,9,52,39,13,53,43666,Clint Dempsey - 12,Stefan Frei,â†’ Conference Semifinals
3,Vancouver,34,15,7,12,50,49,1,52,21416,Fredy Montero - 13,David Ousted,â†’ Knockout round
4,Houston,34,13,11,10,57,45,12,50,17500,Erick Torres - 14,Tyler Deric,â†’ Knockout round
5,Sporting KC,34,12,13,9,40,29,11,49,19537,Gerso Fernandes - 8,Tim Melia,â†’ Knockout round
6,San Jose,34,13,7,14,39,60,-21,46,19875,Chris Wondolowski - 13,David Bingham,â†’ Knockout round
7,FC Dallas,34,11,13,10,48,48,0,46,15122,Maximiliano Urruti - 12,Jesse Gonzalez,
8,Real Salt Lake,34,13,6,15,49,55,-6,45,18781,"Joao Plata, Albert RusnÃ¡k... - 7",Nick Rimando,
9,Minnesota,34,10,6,18,47,70,-23,36,20538,Christian Ramirez - 14,Bobby Shuttleworth,
10,Colorado,34,9,6,19,31,51,-20,33,15322,Dominique Badji - 9,Tim Howard,
11,LA Galaxy,34,8,8,18,45,67,-22,32,22243,Romain Alessandrini - 13,ClÃ©ment Diop,
