Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
1,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,4,3,274,0,1,0,0,1,0,0,0.33,0.33,0,0.33,0.1,0.1,0.9,0.04,0.3,0.35,0.04,0.35
2,Mohammed Abu\Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,4,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.11,0.14,0.03,0.14
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,23,20,1771,1,0,0,0,3,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.1,0.05,0.01,0.05,0.05,0.05
4,David Accam\David-Accam,gh GHA,FWMF,Philadelphia,27,1990,23,13,1213,1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,3.1,3.1,1,0.23,0.07,0.3,0.23,0.3
5,Danilo Acosta\Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,12,10,898,0,1,0,0,0,0,0,0.1,0.1,0,0.1,0.3,0.3,0.5,0.03,0.05,0.08,0.03,0.08
6,Kellyn Acosta\Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,12,12,1039,2,2,0,1,3,0,0.17,0.17,0.35,0.17,0.35,2.2,1.5,0.9,0.19,0.08,0.27,0.13,0.21
7,Kellyn Acosta\Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,13,8,675,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,1.1,1.1,0.7,0.15,0.1,0.25,0.15,0.25
8,Luciano Acosta\Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,33,32,2746,10,15,0,0,3,0,0.33,0.49,0.82,0.33,0.82,5.5,5.5,8.5,0.18,0.28,0.46,0.18,0.46
9,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,21,1996,14,10,883,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,27,26,2328,0,3,0,0,3,0,0,0.12,0.12,0,0.12,1.1,1.1,2.2,0.04,0.09,0.13,0.04,0.13
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,27,1990,14,9,823,3,2,0,0,0,0,0.33,0.22,0.55,0.33,0.55,4.5,4.5,0.7,0.49,0.07,0.56,0.49,0.56
12,Bismark Adjei-Boateng\Bismark-Adjei-Boateng,gh GHA,MFDF,Colorado,23,1994,20,14,1233,1,0,0,0,6,1,0.07,0,0.07,0.07,0.07,0.5,0.5,0.7,0.04,0.05,0.09,0.04,0.09
13,François Affolter\Francois-Affolter,ch SUI,DF,San Jose,26,1991,9,7,678,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,31,1986,32,32,2864,2,3,0,0,1,0,0.06,0.09,0.16,0.06,0.16,2.5,2.5,4.2,0.08,0.13,0.21,0.08,0.21
15,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,25,1992,30,13,1504,3,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,3.4,3.4,1.4,0.21,0.09,0.29,0.21,0.29
16,Abel Aguilar\Abel-Aguilar,co COL,MF,FC Dallas,33,1985,4,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
17,Stefan Aigner\Stefan-Aigner,de GER,FW,Colorado,30,1987,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,José Aja\Jose-Aja,uy URU,DF,Vancouver,24,1993,17,17,1511,1,0,0,0,4,1,0.06,0,0.06,0.06,0.06,0.5,0.5,0.3,0.03,0.02,0.05,0.03,0.05
19,Ager Aketxe\Ager-Aketxe,es ESP,MF,Toronto FC,24,1993,11,9,729,0,1,0,1,1,0,0,0.12,0.12,0,0.12,1.7,1,1.2,0.21,0.14,0.36,0.12,0.26
20,Tesho Akindele\Tesho-Akindele,ca CAN,FWMF,FC Dallas,25,1992,19,5,586,2,0,0,0,0,0,0.31,0,0.31,0.31,0.31,1.7,1.7,0.8,0.26,0.12,0.38,0.26,0.38
21,Ayo Akinola\Ayo-Akinola,us USA,FWMF,Toronto FC,18,2000,4,0,49,0,1,0,0,0,0,0,1.84,1.84,0,1.84,0,0,0.3,0,0.6,0.6,0,0.6
22,Fatai Alashe\Fatai-Alashe,us USA,MF,San Jose,24,1993,12,2,362,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.04,0.04,0,0.04
23,Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,LA Galaxy,28,1989,26,23,1909,11,8,1,1,7,0,0.52,0.38,0.9,0.47,0.85,5.2,4.4,6.1,0.24,0.29,0.53,0.21,0.49
24,Eric Alexander\Eric-Alexander,us USA,MF,Houston,29,1988,21,20,1655,1,0,0,0,4,1,0.05,0,0.05,0.05,0.05,0.7,0.7,0.8,0.04,0.04,0.08,0.04,0.08
25,Tony Alfaro\Tony-Alfaro,us USA,DF,Seattle,24,1993,4,3,220,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
26,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Atlanta,23,1994,32,32,2756,12,11,4,5,4,0,0.39,0.36,0.75,0.26,0.62,15.1,11.3,10.5,0.49,0.34,0.84,0.37,0.71
27,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Seattle,32,1985,25,21,1838,0,0,0,0,6,0,0,0,0,0,0,1.1,1.1,0.6,0.06,0.03,0.08,0.06,0.08
28,Jozy Altidore\Jozy-Altidore,us USA,FW,Toronto FC,28,1989,13,12,871,7,0,2,2,3,1,0.72,0,0.72,0.52,0.52,6.1,4.6,0.4,0.63,0.04,0.67,0.47,0.52
29,Arturo Alvarez\Arturo-Alvarez,sv SLV,FWMF,Houston,32,1985,18,2,355,0,1,0,0,1,0,0,0.25,0.25,0,0.25,0.5,0.5,0.9,0.12,0.22,0.34,0.12,0.34
