Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Sporting KC,34,18,8,8,65,40,25,62,57.5,42.9,14.6,0.44,19950,DÃ¡niel SallÃ³i - 11,Tim Melia,â†’ Conference Semifinals
2,Seattle,34,18,5,11,52,37,15,59,46.6,44.5,2.1,0.06,40641,RaÃºl RuidÃ­az - 10,Stefan Frei,â†’ Conference Semifinals
3,Los Angeles FC,34,16,9,9,68,52,16,57,59.7,45.7,14,0.42,22042,Carlos Vela - 14,Tyler Miller,â†’ Knockout round
4,FC Dallas,34,16,9,9,52,44,8,57,50.8,40.7,10.1,0.31,15512,"Maximiliano Urruti, Roland Lamah - 8",Jesse Gonzalez,â†’ Knockout round
5,Portland,34,15,9,10,54,48,6,54,49.7,44.8,4.9,0.14,21144,"Diego Valeri, SebastiÃ¡n Blanco - 10",Jeff Attinella,â†’ Knockout round
6,Real Salt Lake,34,14,7,13,55,58,-3,49,47.9,53.8,-5.8,-0.17,18605,Damir Kreilach - 12,Nick Rimando,â†’ Knockout round
7,LA Galaxy,34,13,9,12,66,64,2,48,48.9,54.7,-5.9,-0.17,24444,Zlatan IbrahimoviÄ‡ - 22,David Bingham,
8,Vancouver,34,13,8,13,54,67,-13,47,50.4,57.6,-7.2,-0.21,21946,Kei Kamara - 14,Stefan Marinovic,
9,Houston,34,10,8,16,58,58,0,38,53,51.2,1.8,0.05,16906,Mauro Manotas - 19,Joe Willis,
10,Minnesota,34,11,3,20,49,71,-22,36,43.1,53.9,-10.7,-0.32,23902,Darwin Quintero - 11,Bobby Shuttleworth,
11,Colorado,34,8,7,19,36,63,-27,31,35.3,61.2,-25.9,-0.76,15333,Dominique Badji - 7,Tim Howard,
12,San Jose,34,4,9,21,49,71,-22,21,41.9,61.1,-19.2,-0.56,19032,Danny Hoesen - 12,Andrew Tarbell,
