,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,John Alvbåge,se SWE,GK,Minnesota,34,1982,3,2,221,2.5,10,4.07,15,5,0.4,0,0,2,0,0,1,1,0,0,Matches
2,Jeff Attinella,us USA,GK,Portland,28,1988,14,13,"1,243",13.8,20,1.45,64,44,0.688,7,2,5,4,30.8,1,0,0,1,Matches
3,Jorge Bava,uy URU,GK,Chicago,34,1982,8,8,720,8,12,1.5,31,19,0.613,3,2,3,3,37.5,0,0,0,0,Matches
4,Joe Bendik,us USA,GK,Orlando City,27,1989,33,33,"2,970",33,52,1.58,170,118,0.718,10,9,14,7,21.2,5,4,0,1,Matches
5,David Bingham,us USA,GK,San Jose,27,1989,23,23,"2,070",23,35,1.52,92,57,0.641,9,5,9,7,30.4,2,2,0,0,Matches
6,Andre Blake,jm JAM,GK,Philadelphia,26,1990,26,26,"2,340",26,34,1.31,124,90,0.758,9,7,10,9,34.6,5,4,1,0,Matches
7,Alex Bono,us USA,GK,Toronto FC,22,1994,29,28,"2,571",28.6,32,1.12,104,72,0.721,19,6,4,11,39.3,4,3,1,0,Matches
8,Evan Bush,us USA,GK,Montreal,30,1986,31,31,"2,790",31,50,1.61,135,85,0.652,11,6,14,5,16.1,3,3,0,0,Matches
9,Steve Clark,us USA,GK,D.C. United,30,1986,5,5,450,5,11,2.2,25,14,0.64,1,1,3,1,20,3,2,1,0,Matches
10,Maxime Crépeau,ca CAN,GK,Montreal,22,1994,3,3,270,3,8,2.67,19,11,0.632,0,0,3,0,0,2,1,0,1,Matches
11,Cody Cropper,us USA,GK,New England,23,1993,28,28,"2,520",28,50,1.79,124,74,0.629,10,4,14,8,28.6,4,4,0,0,Matches
12,Tyler Deric,us USA,GK,Houston,28,1988,26,26,"2,340",26,31,1.19,102,71,0.716,10,10,6,6,23.1,2,2,0,0,Matches
13,Clément Diop,sn SEN,GK,LA Galaxy,23,1993,14,14,"1,260",14,31,2.21,85,54,0.647,4,2,8,2,14.3,1,1,0,0,Matches
14,Andrew Dykstra,us USA,GK,Sporting KC,31,1986,4,3,302,3.4,5,1.49,14,9,0.643,0,1,2,1,33.3,0,0,0,0,Matches
15,Earl Edwards Jr.,us USA,GK,Orlando City,25,1992,1,1,90,1,6,6,7,1,0.143,0,0,1,0,0,0,0,0,0,Matches
16,Stefan Frei,ch SUI,GK,Seattle,30,1986,33,33,"2,970",33,36,1.09,119,83,0.739,13,11,9,13,39.4,6,5,0,1,Matches
17,Jake Gleeson,nz NZL,GK,Portland,26,1990,21,21,"1,817",20.2,30,1.49,81,51,0.667,8,6,6,3,14.3,3,3,0,0,Matches
18,Jesse Gonzalez,mx MEX,GK,FC Dallas,21,1995,29,29,"2,610",29,40,1.38,118,78,0.669,8,13,8,9,31,1,1,0,0,Matches
19,Brad Guzan,us USA,GK,Atlanta,32,1984,14,14,"1,260",14,10,0.71,47,37,0.809,6,7,1,8,57.1,1,1,0,0,Matches
20,Bill Hamid,us USA,GK,D.C. United,26,1990,24,24,"2,160",24,35,1.46,131,96,0.756,8,4,12,6,25,4,3,0,1,Matches
21,Tim Howard,us USA,GK,Colorado,37,1979,25,25,"2,250",25,39,1.56,125,86,0.728,7,4,14,5,20,6,5,0,1,Matches
22,Clint Irwin,us USA,GK,Toronto FC,27,1989,6,6,489,5.4,5,0.92,19,14,0.737,1,3,1,2,33.3,1,0,0,1,Matches
23,Eirik Johansen,no NOR,GK,NYCFC,24,1992,2,2,180,2,4,2,9,5,0.556,1,0,1,0,0,0,0,0,0,Matches
24,Sean Johnson,us USA,GK,NYCFC,27,1989,32,32,"2,880",32,39,1.22,135,96,0.733,15,9,8,7,21.9,4,3,0,1,Matches
25,Alec Kann,us USA,GK,Atlanta,26,1990,18,18,"1,620",18,25,1.39,83,58,0.747,8,3,7,4,22.2,4,4,0,0,Matches
26,Jon Kempin,us USA,GK,LA Galaxy,23,1993,7,7,569,6.3,13,2.06,40,27,0.675,1,1,4,2,28.6,1,0,1,0,Matches
27,Brad Knighton,us USA,GK,New England,31,1985,6,6,540,6,11,1.83,31,20,0.677,3,2,1,1,16.7,1,1,0,0,Matches
28,Matt Lampson,us USA,GK,Chicago,27,1989,24,24,"2,160",24,31,1.29,88,57,0.682,12,5,7,8,33.3,3,3,0,0,Matches
29,Zac MacMath,us USA,GK,Colorado,25,1991,9,9,810,9,12,1.33,42,30,0.762,2,2,5,1,11.1,2,2,0,0,Matches
30,Stefan Marinovic,nz NZL,GK,Vancouver,25,1991,5,5,450,5,5,1,21,16,0.762,2,1,2,1,20,1,0,0,1,Matches
31,John McCarthy,us USA,GK,Philadelphia,24,1992,8,8,720,8,13,1.62,48,35,0.771,2,2,4,1,12.5,2,2,0,0,Matches
32,Tim Melia,us USA,GK,Sporting KC,30,1986,31,31,"2,758",30.6,24,0.78,116,92,0.81,12,12,7,10,32.3,5,2,3,0,Matches
33,Tyler Miller,us USA,GK,Seattle,23,1993,1,1,90,1,3,3,8,5,0.625,1,0,0,0,0,0,0,0,0,Matches
34,David Ousted,dk DEN,GK,Vancouver,31,1985,28,28,"2,453",27.3,39,1.43,129,90,0.729,13,6,8,6,21.4,4,4,0,0,Matches
35,Kyle Reynish,us USA,GK,Atlanta,33,1983,2,2,150,1.7,3,1.8,5,2,0.4,1,0,1,0,0,0,0,0,0,Matches
36,Spencer Richey,us USA,GK,Vancouver,24,1992,1,1,90,1,2,2,3,1,0.333,0,0,1,0,0,0,0,0,0,Matches
37,Nick Rimando,us USA,GK,Real Salt Lake,37,1979,28,28,"2,487",27.6,33,1.19,108,75,0.704,13,5,10,8,28.6,3,1,2,0,Matches
38,Luis Robles,us USA,GK,NY Red Bulls,32,1984,34,34,"3,060",34,47,1.38,147,100,0.735,14,8,12,10,29.4,9,8,1,0,Matches
39,Brian Rowe,us USA,GK,LA Galaxy,28,1988,14,13,"1,231",13.7,23,1.68,60,37,0.65,3,4,6,2,15.4,2,2,0,0,Matches
40,Richard Sánchez,mx MEX,GK,Chicago,22,1994,2,2,180,2,4,2,14,10,0.714,1,0,1,0,0,0,0,0,0,Matches
41,Chris Seitz,us USA,GK,FC Dallas,29,1987,5,5,450,5,8,1.6,20,12,0.7,3,0,2,0,0,4,2,1,1,Matches
42,Bobby Shuttleworth,us USA,GK,Minnesota,29,1987,33,32,"2,839",31.5,60,1.9,174,114,0.69,10,6,16,5,15.6,8,6,2,0,Matches
43,Zack Steffen,us USA,GK,Columbus,21,1995,34,34,"3,060",34,49,1.44,150,101,0.7,16,6,12,9,26.5,7,4,3,0,Matches
44,Alexandros Tabakis,gr GRE,GK,Atlanta,24,1992,1,0,29,0.3,2,6.21,3,1,0.333,0,0,0,0,,0,0,0,0,Matches
45,Andrew Tarbell,us USA,GK,San Jose,23,1993,11,11,990,11,25,2.27,67,42,0.627,4,2,5,2,18.2,1,0,1,0,Matches
46,Paolo Tornaghi,it ITA,GK,Vancouver,28,1988,1,0,66,0.7,3,4.09,6,3,0.5,0,0,1,0,,0,0,0,0,Matches
47,Matt Van Oekel,us USA,GK,Real Salt Lake,30,1986,7,6,573,6.4,22,3.46,47,25,0.553,0,1,5,1,16.7,1,1,0,0,Matches
48,Joe Willis,us USA,GK,Houston,28,1988,8,8,720,8,14,1.75,31,17,0.581,3,1,4,2,25,1,1,0,0,Matches
49,Travis Worra,us USA,"GK,DF",D.C. United,23,1993,5,5,450,5,14,2.8,25,11,0.44,0,0,5,0,0,0,0,0,0,Matches
