Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NY Red Bulls,34,22,5,7,62,33,+29,71,59.5,42.1,+17.5,+0.51,18601,Bradley Wright-Phillips - 20,Luis Robles,→ Conference Semifinals
2,Atlanta,34,21,6,7,70,44,+26,69,71.4,37.8,+33.6,+0.99,53002,Josef Martínez - 31,Brad Guzan,→ Conference Semifinals
3,NYCFC,34,16,8,10,59,45,+14,56,55.2,40.9,+14.3,+0.43,23211,David Villa - 14,Sean Johnson,→ Knockout round
4,D.C. United,34,14,9,11,60,50,+10,51,46.7,48.2,-1.5,-0.04,17635,Wayne Rooney - 12,David Ousted,→ Knockout round
5,Columbus,34,14,9,11,43,45,-2,51,48.1,38.1,+10.0,+0.29,12447,Gyasi Zardes - 19,Zack Steffen,→ Knockout round
6,Philadelphia,34,15,5,14,49,50,-1,50,53.2,50.2,+3.0,+0.09,16518,Fafà Picault Cory Burke - 10,Andre Blake,→ Knockout round
7,Montreal,34,14,4,16,47,53,-6,46,42.5,50.3,-7.8,-0.23,18569,Ignacio Piatti - 16,Evan Bush,
8,New England,34,10,11,13,49,55,-6,41,43.1,50.6,-7.5,-0.22,18347,Cristian Penilla - 12,Matt Turner,
9,Toronto FC,34,10,6,18,59,64,-5,36,58.3,54.6,+3.7,+0.11,26628,Sebastian Giovinco - 13,Alex Bono,
10,Chicago,34,8,8,18,48,61,-13,32,39.7,59.9,-20.2,-0.59,14806,Nemanja Nikolić - 15,Richard Sánchez,
11,Orlando City,34,8,4,22,43,74,-31,28,45.0,63.0,-17.9,-0.53,23866,Dom Dwyer - 13,Joe Bendik,
